"";"date";"year";"month";"day";"co2"
"1";1975-01-19;1975;1;19;328,23
"2";1975-01-20;1975;1;20;328,03
"3";1975-01-21;1975;1;21;328,12
"4";1975-01-22;1975;1;22;328,08
"5";1975-01-23;1975;1;23;328,06
"6";1975-01-24;1975;1;24;328,09
"7";1975-01-25;1975;1;25;327,99
"8";1975-01-26;1975;1;26;328,27
"9";1975-01-27;1975;1;27;328,32
"10";1975-01-28;1975;1;28;328,28
"11";1975-01-29;1975;1;29;328,28
"12";1975-01-30;1975;1;30;328,34
"13";1975-01-31;1975;1;31;328,33
"14";1975-02-01;1975;2;1;328,3
"15";1975-02-02;1975;2;2;328,32
"16";1975-02-03;1975;2;3;328,32
"17";1975-02-04;1975;2;4;328,34
"18";1975-02-05;1975;2;5;328,35
"19";1975-02-06;1975;2;6;328,31
"20";1975-02-07;1975;2;7;328,15
"21";1975-02-08;1975;2;8;328,22
"22";1975-02-09;1975;2;9;328,23
"23";1975-02-10;1975;2;10;328,21
"24";1975-02-11;1975;2;11;328,25
"25";1975-02-12;1975;2;12;328,27
"26";1975-02-13;1975;2;13;328,28
"27";1975-02-14;1975;2;14;328,22
"28";1975-02-15;1975;2;15;328,19
"29";1975-02-16;1975;2;16;328,19
"30";1975-02-17;1975;2;17;328,22
"31";1975-02-18;1975;2;18;328,18
"32";1975-02-19;1975;2;19;328,14
"33";1975-02-20;1975;2;20;328,16
"34";1975-02-21;1975;2;21;328,16
"35";1975-02-22;1975;2;22;328,16
"36";1975-02-23;1975;2;23;328,14
"37";1975-02-24;1975;2;24;328,12
"38";1975-02-25;1975;2;25;328,17
"39";1975-02-26;1975;2;26;328,24
"40";1975-02-27;1975;2;27;328,16
"41";1975-02-28;1975;2;28;328,14
"42";1975-03-01;1975;3;1;329,04
"43";1975-03-02;1975;3;2;328,78
"44";1975-03-03;1975;3;3;328,97
"45";1975-03-04;1975;3;4;328,8
"46";1975-03-06;1975;3;6;328,75
"47";1975-03-07;1975;3;7;328,7
"48";1975-03-08;1975;3;8;328,91
"49";1975-03-09;1975;3;9;329,06
"50";1975-11-15;1975;11;15;331,21
"51";1975-11-16;1975;11;16;331,21
"52";1975-11-17;1975;11;17;331,24
"53";1975-11-18;1975;11;18;331,38
"54";1975-11-19;1975;11;19;331,31
"55";1975-11-20;1975;11;20;331,34
"56";1975-11-25;1975;11;25;330,06
"57";1975-11-26;1975;11;26;329,92
"58";1975-11-27;1975;11;27;329,86
"59";1975-11-28;1975;11;28;329,83
"60";1975-11-29;1975;11;29;329,96
"61";1975-11-30;1975;11;30;329,82
"62";1975-12-01;1975;12;1;329,92
"63";1975-12-02;1975;12;2;329,85
"64";1975-12-03;1975;12;3;329,88
"65";1975-12-04;1975;12;4;329,82
"66";1975-12-05;1975;12;5;329,75
"67";1975-12-06;1975;12;6;329,86
"68";1975-12-07;1975;12;7;329,78
"69";1975-12-08;1975;12;8;329,8
"70";1975-12-09;1975;12;9;329,76
"71";1975-12-10;1975;12;10;329,72
"72";1975-12-11;1975;12;11;329,77
"73";1975-12-12;1975;12;12;329,73
"74";1975-12-13;1975;12;13;329,69
"75";1975-12-14;1975;12;14;329,65
"76";1975-12-15;1975;12;15;329,64
"77";1975-12-16;1975;12;16;329,71
"78";1975-12-17;1975;12;17;329,69
"79";1975-12-18;1975;12;18;329,68
"80";1975-12-19;1975;12;19;329,61
"81";1975-12-20;1975;12;20;329,66
"82";1975-12-21;1975;12;21;329,64
"83";1975-12-22;1975;12;22;329,64
"84";1975-12-23;1975;12;23;329,77
"85";1975-12-25;1975;12;25;329,65
"86";1975-12-26;1975;12;26;329,69
"87";1975-12-27;1975;12;27;329,67
"88";1975-12-28;1975;12;28;329,65
"89";1975-12-29;1975;12;29;329,76
"90";1975-12-30;1975;12;30;329,65
"91";1975-12-31;1975;12;31;329,54
"92";1976-01-01;1976;1;1;329,3
"93";1976-01-02;1976;1;2;329,16
"94";1976-01-03;1976;1;3;329,52
"95";1976-01-04;1976;1;4;329,55
"96";1976-01-05;1976;1;5;329,54
"97";1976-01-06;1976;1;6;329,49
"98";1976-01-07;1976;1;7;329,49
"99";1976-01-08;1976;1;8;329,56
"100";1976-01-09;1976;1;9;329,55
"101";1976-01-10;1976;1;10;329,54
"102";1976-01-11;1976;1;11;329,51
"103";1976-01-12;1976;1;12;329,46
"104";1976-01-13;1976;1;13;329,36
"105";1976-01-14;1976;1;14;329,38
"106";1976-01-15;1976;1;15;329,4
"107";1976-01-16;1976;1;16;329,45
"108";1976-01-17;1976;1;17;329,45
"109";1976-01-18;1976;1;18;329,5
"110";1976-01-19;1976;1;19;329,45
"111";1976-01-20;1976;1;20;329,43
"112";1976-01-21;1976;1;21;329,46
"113";1976-01-22;1976;1;22;329,47
"114";1976-01-23;1976;1;23;329,37
"115";1976-01-24;1976;1;24;329,37
"116";1976-01-25;1976;1;25;329,46
"117";1976-01-26;1976;1;26;329,43
"118";1976-01-27;1976;1;27;329,46
"119";1976-01-28;1976;1;28;329,44
"120";1976-01-29;1976;1;29;329,44
"121";1976-01-30;1976;1;30;329,35
"122";1976-01-31;1976;1;31;329,44
"123";1976-02-01;1976;2;1;329,38
"124";1976-02-02;1976;2;2;329,41
"125";1976-02-03;1976;2;3;329,42
"126";1976-02-04;1976;2;4;329,45
"127";1976-02-05;1976;2;5;329,18
"128";1976-02-06;1976;2;6;329,37
"129";1976-02-07;1976;2;7;329,3
"130";1976-02-08;1976;2;8;329,24
"131";1976-02-09;1976;2;9;329,28
"132";1976-02-10;1976;2;10;329,04
"133";1976-02-11;1976;2;11;328,9
"134";1976-02-12;1976;2;12;329,14
"135";1976-02-13;1976;2;13;329,05
"136";1976-02-14;1976;2;14;328,9
"137";1976-02-15;1976;2;15;329,08
"138";1976-02-16;1976;2;16;329,24
"139";1976-02-17;1976;2;17;329,27
"140";1976-02-18;1976;2;18;329,27
"141";1976-02-19;1976;2;19;329,21
"142";1976-02-20;1976;2;20;329,23
"143";1976-02-21;1976;2;21;329,19
"144";1976-02-22;1976;2;22;329,21
"145";1976-02-23;1976;2;23;329,21
"146";1976-02-24;1976;2;24;329,18
"147";1976-02-25;1976;2;25;329,15
"148";1976-02-26;1976;2;26;329,15
"149";1976-02-27;1976;2;27;329,19
"150";1976-02-28;1976;2;28;329,24
"151";1976-02-29;1976;2;29;329,27
"152";1976-03-01;1976;3;1;329,2
"153";1976-03-02;1976;3;2;329,17
"154";1976-03-03;1976;3;3;329,07
"155";1976-03-04;1976;3;4;329,01
"156";1976-03-05;1976;3;5;329,07
"157";1976-03-06;1976;3;6;329,07
"158";1976-03-07;1976;3;7;329,11
"159";1976-03-08;1976;3;8;329,11
"160";1976-03-09;1976;3;9;329,17
"161";1976-03-10;1976;3;10;329,16
"162";1976-03-11;1976;3;11;329,12
"163";1976-03-12;1976;3;12;329,1
"164";1976-03-13;1976;3;13;329,01
"165";1976-03-14;1976;3;14;329,11
"166";1976-03-15;1976;3;15;329,08
"167";1976-03-16;1976;3;16;329,1
"168";1976-03-17;1976;3;17;329,06
"169";1976-03-18;1976;3;18;329,08
"170";1976-03-19;1976;3;19;329,01
"171";1976-03-20;1976;3;20;328,97
"172";1976-03-21;1976;3;21;328,95
"173";1976-03-22;1976;3;22;328,91
"174";1976-03-23;1976;3;23;328,81
"175";1976-03-24;1976;3;24;328,56
"176";1976-03-25;1976;3;25;329,1
"177";1976-03-26;1976;3;26;329,2
"178";1976-03-27;1976;3;27;329,19
"179";1976-03-28;1976;3;28;329,17
