"";"date";"gesamt"
"1";2009-12-07;14
"2";2009-12-08;26
"3";2009-12-09;83
"4";2009-12-10;37
"5";2009-12-11;32
"6";2009-12-12;18
"7";2009-12-13;35
"8";2009-12-14;42
"9";2009-12-15;65
"10";2009-12-16;47
"11";2009-12-17;40
"12";2009-12-18;21
"13";2009-12-19;10
"14";2009-12-20;8
"15";2009-12-21;14
"16";2009-12-22;28
"17";2009-12-23;36
"18";2009-12-24;22
"19";2009-12-25;28
"20";2009-12-26;48
"21";2009-12-27;21
"22";2009-12-28;27
"23";2009-12-29;27
"24";2009-12-30;35
"25";2009-12-31;34
"26";2010-01-01;24
"27";2010-01-02;9
"28";2010-01-03;3
"29";2010-01-04;0
"30";2010-01-05;2
"31";2010-01-06;2
"32";2010-01-07;8
"33";2010-01-08;3
"34";2010-01-09;4
"35";2010-01-10;4
"36";2010-01-11;9
"37";2010-01-12;2
"38";2010-01-13;2
"39";2010-01-14;4
"40";2010-01-15;12
"41";2010-01-16;3
"42";2010-01-17;7
"43";2010-01-18;39
"44";2010-01-19;33
"45";2010-01-20;33
"46";2010-01-21;29
"47";2010-01-22;32
"48";2010-01-23;25
"49";2010-01-24;11
"50";2010-01-25;33
"51";2010-01-26;7
"52";2010-01-27;7
"53";2010-01-28;4
"54";2010-01-29;2
"55";2010-01-30;2
"56";2010-01-31;1
"57";2010-02-01;0
"58";2010-02-02;4
"59";2010-02-03;15
"60";2010-02-04;22
"61";2010-02-05;29
"62";2010-02-06;11
"63";2010-02-07;8
"64";2010-02-08;24
"65";2010-02-09;27
"66";2010-02-10;14
"67";2010-02-11;8
"68";2010-02-12;11
"69";2010-02-13;5
"70";2010-02-14;6
"71";2010-02-15;19
"72";2010-02-16;11
"73";2010-02-17;19
"74";2010-02-18;19
"75";2010-02-19;13
"76";2010-02-20;9
"77";2010-02-21;23
"78";2010-02-22;36
"79";2010-02-23;50
"80";2010-02-24;73
"81";2010-02-25;94
"82";2010-02-26;39
"83";2010-02-27;64
"84";2010-02-28;50
"85";2010-03-01;92
"86";2010-03-02;64
"87";2010-03-03;74
"88";2010-03-04;75
"89";2010-03-05;40
"90";2010-03-06;13
"91";2010-03-07;10
"92";2010-03-08;18
"93";2010-03-09;26
"94";2010-03-10;33
"95";2010-03-11;17
"96";2010-03-12;24
"97";2010-03-13;10
"98";2010-03-14;13
"99";2010-03-15;52
"100";2010-03-16;52
"101";2010-03-17;99
"102";2010-03-18;122
"103";2010-03-19;168
"104";2010-03-20;141
"105";2010-03-21;68
"106";2010-03-22;122
"107";2010-03-23;195
"108";2010-03-24;206
"109";2010-03-25;215
"110";2010-03-26;152
"111";2010-03-27;115
"112";2010-03-28;97
"113";2010-03-29;159
"114";2010-03-30;204
"115";2010-03-31;102
"116";2010-04-01;105
"117";2010-04-02;173
"118";2010-04-03;157
"119";2010-04-04;82
"120";2010-04-05;122
"121";2010-04-06;202
"122";2010-04-07;237
"123";2010-04-08;252
"124";2010-04-09;273
"125";2010-04-10;143
"126";2010-04-11;86
"127";2010-04-12;178
"128";2010-04-13;196
"129";2010-04-14;99
"130";2010-04-15;160
"131";2010-04-16;209
"132";2010-04-17;316
"133";2010-04-18;360
"134";2010-04-19;336
"135";2010-04-20;237
"136";2010-04-21;277
"137";2010-04-22;318
"138";2010-04-23;284
"139";2010-04-24;312
"140";2010-04-25;455
"141";2010-04-26;223
"142";2010-04-27;361
"143";2010-04-28;401
"144";2010-04-29;386
"145";2010-04-30;246
"146";2010-05-01;156
"147";2010-05-02;66
"148";2010-05-03;175
"149";2010-05-04;143
"150";2010-05-05;144
"151";2010-05-06;127
"152";2010-05-07;172
"153";2010-05-08;208
"154";2010-05-09;357
"155";2010-05-10;146
"156";2010-05-11;317
"157";2010-05-12;253
"158";2010-05-13;55
"159";2010-05-14;108
"160";2010-05-15;81
"161";2010-05-16;114
"162";2010-05-17;274
"163";2010-05-18;223
"164";2010-05-19;219
"165";2010-05-20;127
"166";2010-05-21;179
"167";2010-05-22;267
"168";2010-05-23;509
"169";2010-05-24;607
"170";2010-05-25;318
"171";2010-05-26;257
"172";2010-05-27;155
"173";2010-05-28;329
"174";2010-05-29;400
"175";2010-05-30;170
"176";2010-05-31;96
"177";2010-06-01;154
"178";2010-06-02;109
"179";2010-06-03;41
"180";2010-06-04;292
"181";2010-06-05;428
"182";2010-06-06;477
"183";2010-06-07;370
"184";2010-06-08;442
"185";2010-06-09;488
"186";2010-06-10;446
"187";2010-06-11;396
"188";2010-06-12;333
"189";2010-06-13;240
"190";2010-06-14;278
"191";2010-06-15;278
"192";2010-06-16;170
"193";2010-06-17;188
"194";2010-06-18;183
"195";2010-06-19;96
"196";2010-06-20;135
"197";2010-06-21;236
"198";2010-06-22;398
"199";2010-06-23;463
"200";2010-06-24;542
"201";2010-06-25;487
"202";2010-06-26;424
"203";2010-06-27;400
"204";2010-06-28;513
"205";2010-06-29;565
"206";2010-06-30;426
"207";2010-07-01;597
"208";2010-07-02;508
"209";2010-07-03;308
"210";2010-07-04;368
"211";2010-07-05;473
"212";2010-07-06;475
"213";2010-07-07;596
"214";2010-07-08;593
"215";2010-07-09;475
"216";2010-07-10;243
"217";2010-07-11;279
"218";2010-07-12;448
"219";2010-07-13;504
"220";2010-07-14;528
"221";2010-07-15;473
"222";2010-07-16;427
"223";2010-07-17;228
"224";2010-07-18;352
"225";2010-07-19;602
"226";2010-07-20;562
"227";2010-07-21;518
"228";2010-07-22;499
"229";2010-07-23;186
"230";2010-07-24;42
"231";2010-07-25;383
"232";2010-07-26;448
"233";2010-07-27;199
"234";2010-07-28;368
"235";2010-07-29;264
"236";2010-07-30;309
"237";2010-07-31;392
"238";2010-08-01;403
"239";2010-08-02;338
"240";2010-08-03;302
"241";2010-08-04;492
"242";2010-08-05;252
"243";2010-08-06;69
"244";2010-08-07;200
"245";2010-08-08;311
"246";2010-08-09;559
"247";2010-08-10;522
"248";2010-08-11;534
"249";2010-08-12;289
"250";2010-08-13;191
"251";2010-08-14;260
"252";2010-08-15;333
"253";2010-08-16;339
"254";2010-08-17;156
"255";2010-08-18;384
"256";2010-08-19;381
"257";2010-08-20;467
"258";2010-08-21;414
"259";2010-08-22;321
"260";2010-08-23;375
"261";2010-08-24;288
"262";2010-08-25;472
"263";2010-08-26;452
"264";2010-08-27;271
"265";2010-08-28;156
"266";2010-08-29;240
"267";2010-08-30;182
"268";2010-08-31;168
"269";2010-09-01;319
"270";2010-09-02;371
"271";2010-09-03;360
"272";2010-09-04;150
"273";2010-09-05;439
"274";2010-09-06;454
"275";2010-09-07;318
"276";2010-09-08;269
"277";2010-09-09;326
"278";2010-09-10;378
"279";2010-09-11;466
"280";2010-09-12;515
"281";2010-09-13;205
"282";2010-09-14;419
"283";2010-09-15;459
"284";2010-09-16;444
"285";2010-09-17;404
"286";2010-09-18;373
"287";2010-09-19;507
"288";2010-09-20;632
"289";2010-09-21;563
"290";2010-09-22;613
"291";2010-09-23;630
"292";2010-09-24;481
"293";2010-09-25;123
"294";2010-09-26;256
"295";2010-09-27;461
"296";2010-09-28;362
"297";2010-09-29;316
"298";2010-09-30;421
"299";2010-10-01;341
"300";2010-10-02;321
"301";2010-10-03;486
"302";2010-10-04;585
"303";2010-10-05;282
"304";2010-10-06;417
"305";2010-10-07;432
"306";2010-10-08;434
"307";2010-10-09;390
"308";2010-10-10;374
"309";2010-10-11;486
"310";2010-10-12;517
"311";2010-10-13;380
"312";2010-10-14;416
"313";2010-10-15;367
"314";2010-10-16;134
"315";2010-10-17;84
"316";2010-10-18;272
"317";2010-10-19;363
"318";2010-10-20;248
"319";2010-10-21;342
"320";2010-10-22;338
"321";2010-10-23;250
"322";2010-10-24;110
"323";2010-10-25;237
"324";2010-10-26;399
"325";2010-10-27;396
"326";2010-10-28;427
"327";2010-10-29;476
"328";2010-10-30;246
"329";2010-10-31;320
"330";2010-11-01;273
"331";2010-11-02;324
"332";2010-11-03;390
"333";2010-11-04;435
"334";2010-11-05;417
"335";2010-11-06;279
"336";2010-11-07;226
"337";2010-11-08;245
"338";2010-11-09;394
"339";2010-11-10;404
"340";2010-11-11;389
"341";2010-11-12;202
"342";2010-11-13;337
"343";2010-11-14;467
"344";2010-11-15;395
"345";2010-11-16;189
"346";2010-11-17;305
"347";2010-11-18;353
"348";2010-11-19;264
"349";2010-11-20;193
"350";2010-11-21;130
"351";2010-11-22;220
"352";2010-11-23;219
"353";2010-11-24;252
"354";2010-11-25;317
"355";2010-11-26;148
"356";2010-11-27;58
"357";2010-11-28;41
"358";2010-11-29;48
"359";2010-11-30;43
"360";2010-12-01;60
"361";2010-12-02;45
"362";2010-12-03;41
"363";2010-12-04;25
"364";2010-12-05;23
"365";2010-12-06;74
"366";2010-12-07;146
"367";2010-12-08;222
"368";2010-12-09;57
"369";2010-12-10;28
"370";2010-12-11;47
"371";2010-12-12;40
"372";2010-12-13;22
"373";2010-12-14;10
"374";2010-12-15;6
"375";2010-12-16;7
"376";2010-12-17;9
"377";2010-12-18;5
"378";2010-12-19;5
"379";2010-12-20;53
"380";2010-12-21;68
"381";2010-12-22;83
"382";2010-12-23;55
"383";2010-12-24;7
"384";2010-12-25;1
"385";2010-12-26;2
"386";2010-12-27;4
"387";2010-12-28;15
"388";2010-12-29;9
"389";2010-12-30;0
"390";2010-12-31;1
"391";2011-01-01;2
"392";2011-01-02;1
"393";2011-01-03;4
"394";2011-01-04;0
"395";2011-01-05;0
"396";2011-01-06;14
"397";2011-01-07;35
"398";2011-01-08;94
"399";2011-01-09;117
"400";2011-01-10;106
"401";2011-01-11;169
"402";2011-01-12;151
"403";2011-01-13;127
"404";2011-01-14;170
"405";2011-01-15;155
"406";2011-01-16;218
"407";2011-01-17;208
"408";2011-01-18;232
"409";2011-01-19;154
"410";2011-01-20;148
"411";2011-01-21;77
"412";2011-01-22;50
"413";2011-01-23;80
"414";2011-01-24;23
"415";2011-01-25;22
"416";2011-01-26;31
"417";2011-01-27;55
"418";2011-01-28;47
"419";2011-01-29;26
"420";2011-01-30;11
"421";2011-01-31;36
"422";2011-02-01;56
"423";2011-02-02;67
"424";2011-02-03;74
"425";2011-02-04;96
"426";2011-02-05;140
"427";2011-02-06;254
"428";2011-02-07;231
"429";2011-02-08;252
"430";2011-02-09;257
"431";2011-02-10;247
"432";2011-02-11;203
"433";2011-02-12;96
"434";2011-02-13;184
"435";2011-02-14;275
"436";2011-02-15;244
"437";2011-02-16;214
"438";2011-02-17;241
"439";2011-02-18;227
"440";2011-02-19;137
"441";2011-02-20;97
"442";2011-02-21;67
"443";2011-02-22;90
"444";2011-02-23;74
"445";2011-02-24;134
"446";2011-02-25;191
"447";2011-02-26;203
"448";2011-02-27;110
"449";2011-02-28;234
"450";2011-03-01;251
"451";2011-03-02;241
"452";2011-03-03;287
"453";2011-03-04;245
"454";2011-03-05;198
"455";2011-03-06;166
"456";2011-03-07;220
"457";2011-03-08;323
"458";2011-03-09;385
"459";2011-03-10;313
"460";2011-03-11;373
"461";2011-03-12;329
"462";2011-03-13;384
"463";2011-03-14;457
"464";2011-03-15;535
"465";2011-03-16;458
"466";2011-03-17;138
"467";2011-03-18;200
"468";2011-03-19;180
"469";2011-03-20;394
"470";2011-03-21;389
"471";2011-03-22;509
"472";2011-03-23;512
"473";2011-03-24;537
"474";2011-03-25;509
"475";2011-03-26;244
"476";2011-03-27;70
"477";2011-03-28;486
"478";2011-03-29;542
"479";2011-03-30;596
"480";2011-03-31;377
"481";2011-04-01;408
"482";2011-04-02;591
"483";2011-04-03;651
"484";2011-04-04;204
"485";2011-04-05;530
"486";2011-04-06;641
"487";2011-04-07;702
"488";2011-04-08;584
"489";2011-04-09;597
"490";2011-04-10;753
"491";2011-04-11;719
"492";2011-04-12;326
"493";2011-04-13;384
"494";2011-04-14;463
"495";2011-04-15;476
"496";2011-04-16;379
"497";2011-04-17;709
"498";2011-04-18;672
"499";2011-04-19;744
"500";2011-04-20;707
"501";2011-04-21;589
"502";2011-04-22;618
"503";2011-04-23;467
"504";2011-04-24;380
"505";2011-04-25;548
"506";2011-04-26;557
"507";2011-04-27;310
"508";2011-04-28;553
"509";2011-04-29;593
"510";2011-04-30;526
"511";2011-05-01;384
"512";2011-05-02;598
"513";2011-05-03;245
"514";2011-05-04;535
"515";2011-05-05;526
"516";2011-05-06;507
"517";2011-05-07;501
"518";2011-05-08;523
"519";2011-05-09;590
"520";2011-05-10;609
"521";2011-05-11;637
"522";2011-05-12;407
"523";2011-05-13;572
"524";2011-05-14;246
