"";"date";"gesamt"
"1";2011-07-08;2072
"2";2011-07-09;3210
"3";2011-07-10;2281
"4";2011-07-11;4437
"5";2011-07-12;5815
"6";2011-07-13;2783
"7";2011-07-14;3243
"8";2011-07-15;3737
"9";2011-07-16;3822
"10";2011-07-17;2085
"11";2011-07-18;2772
"12";2011-07-19;4662
"13";2011-07-20;1278
"14";2011-07-21;3490
"15";2011-07-22;2329
"16";2011-07-23;1340
"17";2011-07-24;1240
"18";2011-07-25;3570
"19";2011-07-26;5043
"20";2011-07-27;4882
"21";2011-07-28;3224
"22";2011-07-29;3096
"23";2011-07-30;2033
"24";2011-07-31;2522
"25";2011-08-01;3934
"26";2011-08-02;5063
"27";2011-08-03;3667
"28";2011-08-04;3088
"29";2011-08-05;3007
"30";2011-08-06;3323
"31";2011-08-07;711
"32";2011-08-08;2363
"33";2011-08-09;2890
"34";2011-08-10;3510
"35";2011-08-11;3995
"36";2011-08-12;3793
"37";2011-08-13;2441
"38";2011-08-14;2217
"39";2011-08-15;963
"40";2011-08-16;4046
"41";2011-08-17;4298
"42";2011-08-18;4360
"43";2011-08-19;2672
"44";2011-08-20;3112
"45";2011-08-21;2703
"46";2011-08-22;3994
"47";2011-08-23;4002
"48";2011-08-24;3886
"49";2011-08-25;4180
"50";2011-08-26;3853
"51";2011-08-27;1112
"52";2011-08-28;2545
"53";2011-08-29;3878
"54";2011-08-30;3708
"55";2011-08-31;4095
"56";2011-09-01;2805
"57";2011-09-02;3176
"58";2011-09-03;3348
"59";2011-09-04;2251
"60";2011-09-05;1283
"61";2011-09-06;4074
"62";2011-09-07;2759
"63";2011-09-08;2140
"64";2011-09-09;3056
"65";2011-09-10;3530
"66";2011-09-11;2970
"67";2011-09-12;4101
"68";2011-09-13;4850
"69";2011-09-14;2549
"70";2011-09-15;4355
"71";2011-09-16;4472
"72";2011-09-17;2990
"73";2011-09-18;573
"74";2011-09-19;1456
"75";2011-09-20;2992
"76";2011-09-21;4263
"77";2011-09-22;4013
"78";2011-09-23;4055
"79";2011-09-24;3256
"80";2011-09-25;3163
"81";2011-09-26;4606
"82";2011-09-27;4756
"83";2011-09-28;4586
"84";2011-09-29;4370
"85";2011-09-30;4485
"86";2011-10-01;3269
"87";2011-10-02;2806
"88";2011-10-03;3303
"89";2011-10-04;4502
"90";2011-10-05;4173
"91";2011-10-06;4039
"92";2011-10-07;1822
"93";2011-10-08;831
"94";2011-10-09;1147
"95";2011-10-10;1548
"96";2011-10-11;3380
"97";2011-10-12;2814
"98";2011-10-13;2035
"99";2011-10-14;3190
"100";2011-10-15;1867
"101";2011-10-16;1553
"102";2011-10-17;2772
"103";2011-10-18;3730
"104";2011-10-19;2476
"105";2011-10-20;2512
"106";2011-10-21;2770
"107";2011-10-22;1704
"108";2011-10-23;1504
"109";2011-10-24;2992
"110";2011-10-25;3077
"111";2011-10-26;2200
"112";2011-10-27;2822
"113";2011-10-28;2980
"114";2011-10-29;1893
"115";2011-10-30;1238
"116";2011-10-31;2214
"117";2011-11-01;1334
"118";2011-11-02;2566
"119";2011-11-03;2716
"120";2011-11-04;2603
"121";2011-11-05;2146
"122";2011-11-06;1644
"123";2011-11-07;2882
"124";2011-11-08;3198
"125";2011-11-09;2940
"126";2011-11-10;2659
"127";2011-11-11;2329
"128";2011-11-12;1682
"129";2011-11-13;1086
"130";2011-11-14;2629
"131";2011-11-15;2525
"132";2011-11-16;2094
"133";2011-11-17;2589
"134";2011-11-18;2584
"135";2011-11-19;1586
"136";2011-11-20;1078
"137";2011-11-21;2611
"138";2011-11-22;2733
"139";2011-11-23;2206
"140";2011-11-24;2309
"141";2011-11-25;2165
"142";2011-11-26;1218
"143";2011-11-27;1198
"144";2011-11-28;2548
"145";2011-11-29;2758
"146";2011-11-30;2597
"147";2011-12-01;2647
"148";2011-12-02;2670
"149";2011-12-03;1280
"150";2011-12-04;733
"151";2011-12-05;1565
"152";2011-12-06;1624
"153";2011-12-07;1320
"154";2011-12-08;2054
"155";2011-12-09;1875
"156";2011-12-10;485
"157";2011-12-11;673
"158";2011-12-12;1599
"159";2011-12-13;1953
"160";2011-12-14;1841
"161";2011-12-15;1877
"162";2011-12-16;1189
"163";2011-12-17;802
"164";2011-12-18;506
"165";2011-12-19;1039
"166";2011-12-20;922
"167";2011-12-21;922
"168";2011-12-22;932
"169";2011-12-23;1037
"170";2011-12-24;471
"171";2011-12-25;282
"172";2011-12-26;373
"173";2011-12-27;989
"174";2011-12-28;1069
"175";2011-12-29;956
"176";2011-12-30;741
"177";2011-12-31;351
"178";2012-01-01;358
"179";2012-01-02;1124
"180";2012-01-03;1412
"181";2012-01-04;776
"182";2012-01-05;522
"183";2012-01-06;301
"184";2012-01-07;552
"185";2012-01-08;325
"186";2012-01-09;1309
"187";2012-01-10;1427
"188";2012-01-11;1816
"189";2012-01-12;1875
"190";2012-01-13;1367
"191";2012-01-14;625
"192";2012-01-15;471
"193";2012-01-16;1319
"194";2012-01-17;1459
"195";2012-01-18;1569
"196";2012-01-19;1117
"197";2012-01-20;920
"198";2012-01-21;291
"199";2012-01-22;472
"200";2012-01-23;1167
"201";2012-01-24;956
"202";2012-01-25;1068
"203";2012-01-26;1079
"204";2012-01-27;1086
"205";2012-01-28;361
"206";2012-01-29;292
"207";2012-01-30;936
"208";2012-01-31;976
"209";2012-02-01;834
"210";2012-02-02;735
"211";2012-02-03;540
"212";2012-02-04;274
"213";2012-02-05;173
"214";2012-02-06;582
"215";2012-02-07;318
"216";2012-02-08;356
"217";2012-02-09;367
"218";2012-02-10;137
"219";2012-02-11;33
"220";2012-02-12;5
"221";2012-02-13;124
"222";2012-02-14;305
"223";2012-02-15;271
"224";2012-02-16;361
"225";2012-02-17;490
"226";2012-02-18;514
"227";2012-02-19;259
"228";2012-02-20;514
"229";2012-02-21;815
"230";2012-02-22;1045
