"";"year";"month";"day";"ice";"date"
"1";1972;1;1;14449000;1972-01-01
"2";1972;1;2;14541400;1972-01-02
"3";1972;1;3;14633900;1972-01-03
"4";1972;1;4;14716100;1972-01-04
"5";1972;1;5;14808500;1972-01-05
"6";1972;1;6;14890700;1972-01-06
"7";1972;1;7;14983200;1972-01-07
"8";1972;1;8;15065300;1972-01-08
"9";1972;1;9;15147500;1972-01-09
"10";1972;1;10;15229700;1972-01-10
"11";1972;1;11;15311900;1972-01-11
"12";1972;1;12;15394000;1972-01-12
"13";1972;1;13;15476200;1972-01-13
"14";1972;1;14;15558400;1972-01-14
"15";1972;1;15;15640600;1972-01-15
"16";1972;1;16;15640600;1972-01-16
"17";1972;1;17;15640600;1972-01-17
"18";1972;1;18;15640600;1972-01-18
"19";1972;1;19;15640600;1972-01-19
"20";1972;1;20;15640600;1972-01-20
"21";1972;1;21;15640600;1972-01-21
"22";1972;1;22;15640600;1972-01-22
"23";1972;1;23;15650900;1972-01-23
"24";1972;1;24;15671400;1972-01-24
"25";1972;1;25;15692000;1972-01-25
"26";1972;1;26;15712500;1972-01-26
"27";1972;1;27;15722800;1972-01-27
"28";1972;1;28;15743300;1972-01-28
"29";1972;1;29;15763900;1972-01-29
"30";1972;1;30;15815200;1972-01-30
"31";1972;1;31;15876900;1972-01-31
"32";1972;2;1;15928200;1972-02-01
"33";1972;2;2;15989800;1972-02-02
"34";1972;2;3;16051500;1972-02-03
"35";1972;2;4;16102800;1972-02-04
"36";1972;2;5;16154200;1972-02-05
"37";1972;2;6;16185000;1972-02-06
"38";1972;2;7;16215800;1972-02-07
"39";1972;2;8;16246700;1972-02-08
"40";1972;2;9;16267200;1972-02-09
"41";1972;2;10;16298000;1972-02-10
"42";1972;2;11;16318600;1972-02-11
"43";1972;2;12;16349400;1972-02-12
"44";1972;2;13;16369900;1972-02-13
"45";1972;2;14;16400800;1972-02-14
"46";1972;2;15;16421300;1972-02-15
"47";1972;2;16;16452100;1972-02-16
"48";1972;2;17;16472700;1972-02-17
"49";1972;2;18;16503500;1972-02-18
"50";1972;2;19;16524000;1972-02-19
"51";1972;2;20;16524000;1972-02-20
"52";1972;2;21;16513800;1972-02-21
"53";1972;2;22;16503500;1972-02-22
"54";1972;2;23;16493200;1972-02-23
"55";1972;2;24;16493200;1972-02-24
"56";1972;2;25;16482900;1972-02-25
"57";1972;2;26;16472700;1972-02-26
"58";1972;2;27;16411000;1972-02-27
"59";1972;2;28;16349400;1972-02-28
"60";1972;2;29;16287800;1972-02-29
"61";1972;3;1;16226100;1972-03-01
"62";1972;3;2;16154200;1972-03-02
"63";1972;3;3;16092600;1972-03-03
"64";1972;3;4;16030900;1972-03-04
"65";1972;3;5;16020700;1972-03-05
"66";1972;3;6;16020700;1972-03-06
"67";1972;3;7;16020700;1972-03-07
"68";1972;3;8;16010400;1972-03-08
"69";1972;3;9;16010400;1972-03-09
"70";1972;3;10;16000100;1972-03-10
"71";1972;3;11;16000100;1972-03-11
"72";1972;3;12;16030900;1972-03-12
"73";1972;3;13;16072000;1972-03-13
"74";1972;3;14;16102800;1972-03-14
"75";1972;3;15;16133700;1972-03-15
"76";1972;3;16;16164500;1972-03-16
"77";1972;3;17;16195300;1972-03-17
"78";1972;3;18;16226100;1972-03-18
"79";1972;3;19;16267200;1972-03-19
"80";1972;3;20;16318600;1972-03-20
"81";1972;3;21;16369900;1972-03-21
"82";1972;3;22;16411000;1972-03-22
"83";1972;3;23;16452100;1972-03-23
"84";1972;3;24;16503500;1972-03-24
"85";1972;3;25;16544600;1972-03-25
"86";1972;3;26;16452100;1972-03-26
"87";1972;3;27;16369900;1972-03-27
"88";1972;3;28;16277500;1972-03-28
"89";1972;3;29;16185000;1972-03-29
"90";1972;3;30;16092600;1972-03-30
"91";1972;3;31;16000100;1972-03-31
"92";1972;4;1;15907700;1972-04-01
"93";1972;4;2;15866600;1972-04-02
"94";1972;4;3;15825500;1972-04-03
"95";1972;4;4;15784400;1972-04-04
"96";1972;4;5;15743300;1972-04-05
"97";1972;4;6;15702200;1972-04-06
"98";1972;4;7;15650900;1972-04-07
"99";1972;4;8;15609800;1972-04-08
"100";1972;4;9;15620000;1972-04-09
"101";1972;4;10;15640600;1972-04-10
"102";1972;4;11;15661100;1972-04-11
"103";1972;4;12;15671400;1972-04-12
"104";1972;4;13;15692000;1972-04-13
"105";1972;4;14;15702200;1972-04-14
"106";1972;4;15;15712500;1972-04-15
"107";1972;4;16;15692000;1972-04-16
"108";1972;4;17;15661100;1972-04-17
"109";1972;4;18;15630300;1972-04-18
"110";1972;4;19;15609800;1972-04-19
"111";1972;4;20;15579000;1972-04-20
"112";1972;4;21;15548100;1972-04-21
"113";1972;4;22;15507000;1972-04-22
"114";1972;4;23;15424900;1972-04-23
"115";1972;4;24;15342700;1972-04-24
"116";1972;4;25;15250200;1972-04-25
"117";1972;4;26;15168000;1972-04-26
"118";1972;4;27;15075600;1972-04-27
"119";1972;4;28;14993400;1972-04-28
"120";1972;4;29;14901000;1972-04-29
"121";1972;4;30;14911200;1972-04-30
"122";1972;5;1;14911200;1972-05-01
"123";1972;5;2;14921500;1972-05-02
"124";1972;5;3;14931800;1972-05-03
"125";1972;5;4;14931800;1972-05-04
"126";1972;5;5;14942100;1972-05-05
"127";1972;5;6;14942100;1972-05-06
"128";1972;5;7;14911200;1972-05-07
"129";1972;5;8;14880400;1972-05-08
"130";1972;5;9;14849600;1972-05-09
"131";1972;5;10;14818800;1972-05-10
"132";1972;5;11;14788000;1972-05-11
"133";1972;5;12;14757200;1972-05-12
"134";1972;5;13;14726300;1972-05-13
"135";1972;5;14;14695500;1972-05-14
"136";1972;5;15;14675000;1972-05-15
"137";1972;5;16;14644200;1972-05-16
"138";1972;5;17;14613300;1972-05-17
"139";1972;5;18;14582500;1972-05-18
"140";1972;5;19;14562000;1972-05-19
"141";1972;5;20;14531200;1972-05-20
"142";1972;5;21;14459200;1972-05-21
"143";1972;5;22;14397600;1972-05-22
"144";1972;5;23;14325700;1972-05-23
"145";1972;5;24;14264100;1972-05-24
"146";1972;5;25;14192200;1972-05-25
"147";1972;5;26;14130500;1972-05-26
"148";1972;5;27;14058600;1972-05-27
"149";1972;5;28;13997000;1972-05-28
"150";1972;5;29;13935400;1972-05-29
"151";1972;5;30;13884000;1972-05-30
"152";1972;5;31;13822400;1972-05-31
"153";1972;6;1;13760700;1972-06-01
"154";1972;6;2;13699100;1972-06-02
"155";1972;6;3;13637400;1972-06-03
"156";1972;6;4;13565500;1972-06-04
"157";1972;6;5;13503900;1972-06-05
"158";1972;6;6;13432000;1972-06-06
"159";1972;6;7;13370400;1972-06-07
"160";1972;6;8;13298500;1972-06-08
"161";1972;6;9;13226600;1972-06-09
"162";1972;6;10;13164900;1972-06-10
"163";1972;6;11;13113600;1972-06-11
"164";1972;6;12;13051900;1972-06-12
"165";1972;6;13;13000600;1972-06-13
"166";1972;6;14;12949200;1972-06-14
"167";1972;6;15;12897800;1972-06-15
"168";1972;6;16;12836200;1972-06-16
"169";1972;6;17;12784800;1972-06-17
"170";1972;6;18;12723200;1972-06-18
"171";1972;6;19;12661600;1972-06-19
"172";1972;6;20;12599900;1972-06-20
"173";1972;6;21;12538300;1972-06-21
"174";1972;6;22;12476700;1972-06-22
"175";1972;6;23;12404800;1972-06-23
"176";1972;6;24;12343100;1972-06-24
"177";1972;6;25;12271200;1972-06-25
"178";1972;6;26;12209600;1972-06-26
"179";1972;6;27;12137700;1972-06-27
"180";1972;6;28;12076000;1972-06-28
"181";1972;6;29;12004100;1972-06-29
"182";1972;6;30;11932200;1972-06-30
"183";1972;7;1;11860300;1972-07-01
"184";1972;7;2;11819200;1972-07-02
"185";1972;7;3;11767900;1972-07-03
"186";1972;7;4;11726800;1972-07-04
"187";1972;7;5;11675400;1972-07-05
"188";1972;7;6;11624000;1972-07-06
"189";1972;7;7;11572700;1972-07-07
"190";1972;7;8;11531600;1972-07-08
