"";"year";"month";"day";"ice";"date"
"1";1973;1;1;9178640;1973-01-01
"2";1973;1;2;9008410;1973-01-02
"3";1973;1;3;8841110;1973-01-03
"4";1973;1;4;8666540;1973-01-04
"5";1973;1;5;8488540;1973-01-05
"6";1973;1;6;8314280;1973-01-06
"7";1973;1;7;8156170;1973-01-07
"8";1973;1;8;7948990;1973-01-08
"9";1973;1;9;7796120;1973-01-09
"10";1973;1;10;7595710;1973-01-10
"11";1973;1;11;7382070;1973-01-11
"12";1973;1;12;7154690;1973-01-12
"13";1973;1;13;6935400;1973-01-13
"14";1973;1;14;6752850;1973-01-14
"15";1973;1;15;6581310;1973-01-15
"16";1973;1;16;6417750;1973-01-16
"17";1973;1;17;6304570;1973-01-17
"18";1973;1;18;6218950;1973-01-18
"19";1973;1;19;6147870;1973-01-19
"20";1973;1;20;6070930;1973-01-20
"21";1973;1;21;5989450;1973-01-21
"22";1973;1;22;5919480;1973-01-22
"23";1973;1;23;5845680;1973-01-23
"24";1973;1;24;5705840;1973-01-24
"25";1973;1;25;5596500;1973-01-25
"26";1973;1;26;5473820;1973-01-26
"27";1973;1;27;5375580;1973-01-27
"28";1973;1;28;5272300;1973-01-28
"29";1973;1;29;5165380;1973-01-29
"30";1973;1;30;5066530;1973-01-30
"31";1973;1;31;4973240;1973-01-31
"32";1973;2;1;4859650;1973-02-01
"33";1973;2;2;4790390;1973-02-02
"34";1973;2;3;4672770;1973-02-03
"35";1973;2;4;4577050;1973-02-04
"36";1973;2;5;4473060;1973-02-05
"37";1973;2;6;4397330;1973-02-06
"38";1973;2;7;4302220;1973-02-07
"39";1973;2;8;4254270;1973-02-08
"40";1973;2;9;4188740;1973-02-09
"41";1973;2;10;4156130;1973-02-10
"42";1973;2;11;4114830;1973-02-11
"43";1973;2;12;4078080;1973-02-12
"44";1973;2;13;4013260;1973-02-13
"45";1973;2;14;3960860;1973-02-14
"46";1973;2;15;3913610;1973-02-15
"47";1973;2;16;3889380;1973-02-16
"48";1973;2;17;3876050;1973-02-17
"49";1973;2;18;3870700;1973-02-18
"50";1973;2;19;3867370;1973-02-19
"51";1973;2;20;3863730;1973-02-20
"52";1973;2;21;3901290;1973-02-21
"53";1973;2;22;3937440;1973-02-22
"54";1973;2;23;3965910;1973-02-23
"55";1973;2;24;4020330;1973-02-24
"56";1973;2;25;4078380;1973-02-25
"57";1973;2;26;4142200;1973-02-26
"58";1973;2;27;4283240;1973-02-27
"59";1973;2;28;4449330;1973-02-28
"60";1973;3;1;4632580;1973-03-01
"61";1973;3;2;4792210;1973-03-02
"62";1973;3;3;4909330;1973-03-03
"63";1973;3;4;5013320;1973-03-04
"64";1973;3;5;5103580;1973-03-05
"65";1973;3;6;5142050;1973-03-06
"66";1973;3;7;5142050;1973-03-07
"67";1973;3;8;5243420;1973-03-08
"68";1973;3;9;5310460;1973-03-09
"69";1973;3;10;5366800;1973-03-10
"70";1973;3;11;5410420;1973-03-11
"71";1973;3;12;5461810;1973-03-12
"72";1973;3;13;5578020;1973-03-13
"73";1973;3;14;5693220;1973-03-14
"74";1973;3;15;5773890;1973-03-15
"75";1973;3;16;5886270;1973-03-16
"76";1973;3;17;5967640;1973-03-17
"77";1973;3;18;6048010;1973-03-18
"78";1973;3;19;6092940;1973-03-19
"79";1973;3;20;6153220;1973-03-20
"80";1973;3;21;6225510;1973-03-21
"81";1973;3;22;6302750;1973-03-22
"82";1973;3;23;6399570;1973-03-23
"83";1973;3;24;6482870;1973-03-24
